bóng,chương_trình,công_nghệ,công_ty,diễn_viên,doanh_nghiệp,giúp,gây,khỏe,lớn,mùa,mạnh,mới,nổi_tiếng,phim,sống,trường,địa_phương,đội,category
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.6401065372099655,0.0,0.0,0.6401065372099655,0.0,0.0,0.0,0.0,0.0,0.0,0.4248849750722355,0.0,0.0,0.0,0.0,0.0,0.0,1
0.7655684281636743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6433544760075902,2
0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.83316161602351,0.0,0.0,0.0,0.0,0.0,0.0,0.5530295847286049,0.0,0.0,0.0,0.0,0.0,0.0,1
0.575097999014043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817341095128094,0.5384902510868227,0.0,0.0,0.0,0.0,0.48329039991392,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7299576673804609,0.0,0.6834923582838923,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5
